features,final_ranking_points,final_ranking
onehot__x4_3740.0,1748,326
onehot__x4_8130.0,1749,327
onehot__x4_5165.0,1753,328
onehot__x4_4760.0,1753,329
onehot__x4_160.0,1753,330
onehot__x3_2.0,1755,331
onehot__x2_5,1773,332
onehot__x4_2550.0,1775,333
onehot__x2_7,1777,334
onehot__x4_6200.0,1789,335
onehot__x4_7200.0,1796,336
onehot__x1_3,1805,337
onehot__x4_1550.0,1805,338
onehot__x4_7030.0,1827,339
onehot__x4_5120.0,1833,340
onehot__x4_3260.0,1848,341
onehot__x4_7740.0,1849,342
onehot__x4_3620.0,1858,343
onehot__x4_8610.0,1860,344
onehot__x4_9520.0,1871,345
onehot__x4_7100.0,1878,346
onehot__x4_8965.0,1882,347
onehot__x4_1540.0,1886,348
onehot__x4_5200.0,1890,349
onehot__x4_9130.0,1895,350
onehot__x4_2200.0,1895,351
onehot__x4_2015.0,1898,352
onehot__x4_510.0,1918,353
onehot__x4_930.0,1920,354
onehot__x4_40.0,1931,355
onehot__x4_5500.0,1935,356
onehot__x4_7120.0,1935,357
onehot__x1_0,1951,358
onehot__x1_6,1963,359
onehot__x4_520.0,1972,360
onehot__x4_4800.0,1977,361
onehot__x4_1340.0,1980,362
onehot__x4_2330.0,1986,363
onehot__x4_2310.0,1986,364
onehot__x4_7220.0,1998,365
onehot__x4_900.0,1999,366
onehot__x4_9000.0,2001,367
onehot__x4_5410.0,2003,368
onehot__x4_3030.0,2003,369
onehot__x4_5230.0,2008,370
onehot__x4_3520.0,2008,371
onehot__x4_6840.0,2010,372
onehot__x4_2760.0,2010,373
onehot__x4_4300.0,2020,374
onehot__x4_1310.0,2022,375
onehot__x4_4400.0,2024,376
onehot__x4_6300.0,2029,377
onehot__x4_9560.0,2035,378
onehot__x4_4420.0,2042,379
onehot__x4_2810.0,2042,380
onehot__x4_5420.0,2053,381
onehot__x4_5600.0,2054,382
onehot__x4_1920.0,2062,383
onehot__x4_8830.0,2063,384
onehot__x1_2,2066,385
onehot__x4_5130.0,2068,386
onehot__x4_4810.0,2071,387
onehot__x4_1965.0,2073,388
onehot__x2_2,2078,389
onehot__x4_1640.0,2079,390
onehot__x4_7420.0,2080,391
onehot__x4_2740.0,2082,392
onehot__x4_7920.0,2082,393
onehot__x2_3,2086,394
onehot__x4_7330.0,2091,395
onehot__x4_7930.0,2093,396
onehot__x4_3245.0,2094,397
onehot__x4_5800.0,2096,398
onehot__x4_420.0,2100,399
onehot__x4_725.0,2104,400
onehot__x4_2800.0,2104,401
onehot__x4_8850.0,2106,402
onehot__x4_5910.0,2108,403
onehot__x4_6830.0,2110,404
onehot__x4_5000.0,2112,405
onehot__x4_5940.0,2125,406
onehot__x4_7315.0,2128,407
onehot__x4_330.0,2134,408
onehot__x4_2910.0,2140,409
onehot__x4_9420.0,2146,410
onehot__x4_2025.0,2152,411
onehot__x4_810.0,2152,412
